"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference"
0,0.02,0.02,FALSE,-0.00845081707959732,0,-0.00939803321170132,-0.00750435718938728,"rejected"
0.0025,0.02,0.02,FALSE,-0.00846468749895367,0,-0.00941508859911968,-0.00751085227611037,"rejected"
0.005,0.02,0.02,FALSE,-0.00847869802355603,0,-0.00942990657065083,-0.00751741296977005,"rejected"
0.01,0.02,0.02,FALSE,-0.00850714796637103,0,-0.0094599281046084,-0.00753702196503243,"rejected"
0.02,0.02,0.02,FALSE,-0.00856582597342697,0,-0.00953808076439201,-0.00757957241110481,"rejected"
0.05,0.02,0.02,FALSE,-0.00875750746314305,0,-0.00954017251105733,-0.00760732938490889,"rejected"
0,0.05,0.02,FALSE,-0.00954495931541229,0,-0.0105689264821795,-0.00818085020403738,"rejected"
0.0025,0.05,0.02,FALSE,-0.00956068371964568,0,-0.0105915170101292,-0.00819185152500848,"rejected"
0.005,0.05,0.02,FALSE,-0.00957656695624505,0,-0.0106156604302818,-0.00820296397043383,"rejected"
0.01,0.05,0.02,FALSE,-0.00960881965097237,0,-0.0106623542095596,-0.00822552903818531,"rejected"
0.02,0.05,0.02,FALSE,-0.00967534083384745,0,-0.0107428055687264,-0.00829937053843037,"rejected"
0.05,0.05,0.02,FALSE,-0.00989264336457272,0,-0.0108426301561388,-0.00848342466779244,"rejected"
0,0,0.05,FALSE,-0.023538243136785,0,-0.025207820770627,-0.0218346319430609,"rejected"
0.0025,0,0.05,FALSE,-0.0235701014390604,0,-0.0252486422768376,-0.0218648794966497,"rejected"
0.005,0,0.05,FALSE,-0.0236022815423689,0,-0.0252898761214948,-0.0218960676310184,"rejected"
0.01,0,0.05,FALSE,-0.0236676268541892,0,-0.0253734855102276,-0.0219386225516566,"rejected"
0.02,0,0.05,FALSE,-0.0238024015598186,0,-0.0255457520788274,-0.0220372997933631,"rejected"
0.05,0,0.05,FALSE,-0.024242665598208,0,-0.0260933024309825,-0.022347753197379,"rejected"
0,0.0025,0.05,FALSE,-0.023691617114238,0,-0.0253601464459093,-0.0219805102716982,"rejected"
0.0025,0.0025,0.05,FALSE,-0.023723661062728,0,-0.0254011790880763,-0.0220082391559253,"rejected"
0.005,0.0025,0.05,FALSE,-0.0237560286874655,0,-0.0254426262013764,-0.0220396630141088,"rejected"
0.01,0.0025,0.05,FALSE,-0.0238217547825956,0,-0.0255267892171592,-0.0220918613365377,"rejected"
0.02,0.0025,0.05,FALSE,-0.0239573148538016,0,-0.0257001803902147,-0.0221816616312348,"rejected"
0.05,0.0025,0.05,FALSE,-0.0244001444197409,0,-0.0262511742198043,-0.0224860099742207,"rejected"
0,0.005,0.05,FALSE,-0.0238481211728635,0,-0.0255170093468982,-0.0221347429604192,"rejected"
0.0025,0.005,0.05,FALSE,-0.0238803545562665,0,-0.0255568288954627,-0.0221592230469536,"rejected"
0.005,0.005,0.05,FALSE,-0.0239129135294008,0,-0.025598493629827,-0.0221860691252621,"rejected"
0.01,0.005,0.05,FALSE,-0.0239790281789287,0,-0.0256830985496074,-0.0222380592307106,"rejected"
0.02,0.005,0.05,FALSE,-0.0241153896435801,0,-0.0258575961966545,-0.0223361909237537,"rejected"
0.05,0.005,0.05,FALSE,-0.0245608370947744,0,-0.0264122678818674,-0.0226345368117066,"rejected"
0,0.01,0.05,FALSE,-0.0241709107937786,0,-0.025895305748315,-0.0224238659427966,"rejected"
0.0025,0.01,0.05,FALSE,-0.0242035348866895,0,-0.0259337856959344,-0.0224555141514484,"rejected"
0.005,0.01,0.05,FALSE,-0.0242364885158924,0,-0.0259726543298933,-0.0224874820389754,"rejected"
0.01,0.01,0.05,FALSE,-0.0243034045588658,0,-0.0260515814539529,-0.022540781962613,"rejected"
0.02,0.01,0.05,FALSE,-0.0244414188974983,0,-0.0262143686473256,-0.022636856908198,"rejected"
0.05,0.01,0.05,FALSE,-0.0248922657370312,0,-0.0267626694978103,-0.0229488597772331,"rejected"
0,0.02,0.05,FALSE,-0.0248585930296411,0,-0.0266761934109305,-0.0230654250627461,"rejected"
0.0025,0.02,0.05,FALSE,-0.0248920495036776,0,-0.0267165094185406,-0.0230913861196074,"rejected"
0.005,0.02,0.05,FALSE,-0.0249258439218963,0,-0.0267572326585508,-0.0231169138621152,"rejected"
0.01,0.02,0.05,FALSE,-0.0249944672813403,0,-0.0268399257683674,-0.0231687508086362,"rejected"
0.02,0.02,0.05,FALSE,-0.0251360029601936,0,-0.0270104803073643,-0.0232764428002223,"rejected"
0.05,0.02,0.05,FALSE,-0.0255983528444478,0,-0.0275869842377545,-0.0236191449049671,"rejected"
0,0.05,0.05,FALSE,-0.0273342490787464,0,-0.0294147144938163,-0.0253163181061652,"rejected"
0.0025,0.05,0.05,FALSE,-0.0273707021248349,0,-0.0294630343049127,-0.025343359023497,"rejected"
0.005,0.05,0.05,FALSE,-0.0274075233835101,0,-0.029511842194909,-0.0253706730814078,"rejected"
0.01,0.05,0.05,FALSE,-0.0274822930822486,0,-0.0296107081353935,-0.0254261373418595,"rejected"
0.02,0.05,0.05,FALSE,-0.0276365055858968,0,-0.0297711342841259,-0.0255405323790411,"rejected"
0.05,0.05,0.05,FALSE,-0.0281402664311474,0,-0.0303870100470093,-0.0259133216044181,"rejected"
