"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","sharp_lower_boot_median","sharp_upper_boot_median","compatible_boot_replicates"
0.02,0.05,0.005,FALSE,-0.00707475283016279,32,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.05,0.005,FALSE,-0.00867692889175789,40,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0,0.01,FALSE,-0.00351422772523056,10,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0,0.01,FALSE,-0.00352183805408206,10,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0,0.01,FALSE,-0.00352952525494215,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0,0.01,FALSE,-0.00354513497913766,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0,0.01,FALSE,-0.0035773300352909,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0,0.01,FALSE,-0.00750695331481566,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.0025,0.01,FALSE,-0.0035582383196337,10,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.0025,0.01,FALSE,-0.00356594384522504,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.0025,0.01,FALSE,-0.00357372720440821,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.0025,0.01,FALSE,-0.00358953218887199,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.0025,0.01,FALSE,-0.00362212996932854,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.0025,0.01,FALSE,-0.00755750701877902,33,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.005,0.01,FALSE,-0.00360314708943283,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.005,0.01,FALSE,-0.00361094975455461,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.005,0.01,FALSE,-0.00361883123447561,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.005,0.01,FALSE,-0.0036348354641111,17,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.005,0.01,FALSE,-0.0036678441877343,24,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.005,0.01,FALSE,-0.00760909243098653,33,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.01,0.01,FALSE,-0.00369577142714352,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.01,0.01,FALSE,-0.00370377444254686,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.01,0.01,FALSE,-0.00371185829648962,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.01,0.01,FALSE,-0.00372827346929177,18,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.01,0.01,FALSE,-0.00376212976319619,25,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.01,0.01,FALSE,-0.00771548734366451,33,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.02,0.01,FALSE,-0.00389310153791849,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.02,0.01,FALSE,-0.00390153138653034,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.02,0.01,FALSE,-0.00391004638512818,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.02,0.01,FALSE,-0.00392733704554623,20,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.02,0.01,FALSE,-0.00396299903265846,26,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.02,0.01,FALSE,-0.00794215476632631,35,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.05,0.01,FALSE,-0.00687778808153531,24,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.05,0.01,FALSE,-0.00691074712960454,25,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.05,0.01,FALSE,-0.00694403909735124,26,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.05,0.01,FALSE,-0.00701164217471443,29,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.05,0.01,FALSE,-0.007151073521776,35,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.05,0.01,FALSE,-0.00875815748790876,42,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0,0.02,FALSE,-0.00786727455382934,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0,0.02,FALSE,-0.00788015618125126,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0,0.02,FALSE,-0.00789316792612188,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0,0.02,FALSE,-0.00791958973458365,18,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0,0.02,FALSE,-0.00797408471453605,27,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0,0.02,FALSE,-0.00815210164904722,36,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.0025,0.02,FALSE,-0.00793505979672158,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.0025,0.02,FALSE,-0.00794805628381265,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.0025,0.02,FALSE,-0.0079611840485511,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.0025,0.02,FALSE,-0.00798784144837713,19,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.0025,0.02,FALSE,-0.00804282233551833,27,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.0025,0.02,FALSE,-0.00822242656684623,36,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.005,0.02,FALSE,-0.00800422841191775,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.005,0.02,FALSE,-0.00801734210275284,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.005,0.02,FALSE,-0.00803058825511152,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.005,0.02,FALSE,-0.00805748605428885,20,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.005,0.02,FALSE,-0.00811296276509208,28,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.005,0.02,FALSE,-0.0082941866870493,36,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.01,0.02,FALSE,-0.00814688868075983,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.01,0.02,FALSE,-0.008160244104317,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.01,0.02,FALSE,-0.00817373443114241,17,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.01,0.02,FALSE,-0.00820112805398177,22,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.01,0.02,FALSE,-0.00825762740108795,29,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.01,0.02,FALSE,-0.00844219193496814,36,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.02,0.02,FALSE,-0.00845081707959732,17,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.02,0.02,FALSE,-0.00846468749895367,18,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.02,0.02,FALSE,-0.00847869802355603,19,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.02,0.02,FALSE,-0.00850714796637103,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.02,0.02,FALSE,-0.00856582597342697,30,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.02,0.02,FALSE,-0.00875750746314305,39,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.05,0.02,FALSE,-0.00954495931541229,25,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.05,0.02,FALSE,-0.00956068371964568,27,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.05,0.02,FALSE,-0.00957656695624505,27,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.05,0.02,FALSE,-0.00960881965097237,30,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.05,0.02,FALSE,-0.00967534083384745,36,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.05,0.02,FALSE,-0.00989264336457272,44,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0,0.05,FALSE,-0.023538243136785,25,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0,0.05,FALSE,-0.0235701014390604,26,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0,0.05,FALSE,-0.0236022815423689,26,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0,0.05,FALSE,-0.0236676268541892,28,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0,0.05,FALSE,-0.0238024015598186,36,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0,0.05,FALSE,-0.024242665598208,39,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.0025,0.05,FALSE,-0.023691617114238,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.0025,0.05,FALSE,-0.023723661062728,25,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.0025,0.05,FALSE,-0.0237560286874655,26,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
