"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference"
0.0025,0.01,0.005,TRUE,0.000485522536509228,0.651,-0.000753779263179429,0.00165226990692388,"indeterminate"
0.005,0.01,0.005,TRUE,0.000343898984128666,0.519,-0.000892048727285736,0.00157420277891664,"indeterminate"
0.01,0.01,0.005,TRUE,5.40817145663819e-05,0.322,-0.00110439531327475,0.00154244270511266,"indeterminate"
0.02,0.01,0.005,FALSE,-0.000679175206281816,0.072,-0.00187856224576497,0.00167718010474943,"indeterminate"
0.05,0.01,0.005,FALSE,-0.00520998453496084,0,-0.00764894398287808,0.000937698271366827,"indeterminate"
0,0.02,0.005,TRUE,0.000521892620514639,0.66,-0.00070883213698272,0.00168796943648285,"indeterminate"
0.0025,0.02,0.005,TRUE,0.000385607597736019,0.556,-0.000838681262037977,0.00161104224409444,"indeterminate"
0.005,0.02,0.005,TRUE,0.000247247168519145,0.443,-0.000961399664738459,0.00156029935511391,"indeterminate"
0.01,0.02,0.005,FALSE,-4.37796121013272e-05,0.273,-0.00116754954899585,0.0015062031733059,"indeterminate"
0.02,0.02,0.005,FALSE,-0.000817580057341688,0.055,-0.00207941193903482,0.00156700989337348,"indeterminate"
0.05,0.02,0.005,FALSE,-0.00533193719677601,0,-0.00780380763795555,0.000973228027988784,"indeterminate"
0,0.05,0.005,TRUE,0.000168827061796661,0.392,-0.00102630884276849,0.00170212751141928,"indeterminate"
0.0025,0.05,0.005,TRUE,2.29038025140934e-05,0.312,-0.00115611949005463,0.00160243627351764,"indeterminate"
0.005,0.05,0.005,FALSE,-0.000156277912047002,0.244,-0.00136847193823186,0.00147909958424536,"indeterminate"
0.01,0.05,0.005,FALSE,-0.000522953894937492,0.145,-0.00178100247698239,0.0013059389237732,"indeterminate"
0.02,0.05,0.005,FALSE,-0.00129141313567607,0.028,-0.00259169212071829,0.00123441398441134,"indeterminate"
0.05,0.05,0.005,FALSE,-0.00574944572134321,0,-0.00838612830685534,0.000929497084529562,"indeterminate"
0,0,0.01,TRUE,0.000363956926630945,0.553,-0.000886871931567505,0.00171703449291529,"indeterminate"
0.0025,0,0.01,TRUE,0.000219854511420069,0.461,-0.00103341263195535,0.00162392655042581,"indeterminate"
0.005,0,0.01,TRUE,7.35576431856766e-05,0.376,-0.00119217725524662,0.00147239377355797,"indeterminate"
0.01,0,0.01,FALSE,-0.000225823061397074,0.217,-0.00145090053107058,0.00132171102764983,"indeterminate"
0.02,0,0.01,FALSE,-0.000878503769532921,0.045,-0.00203248159813013,0.00145786472696706,"indeterminate"
0.05,0,0.01,FALSE,-0.00548837025605781,0,-0.0079787981175602,0.000639147697122533,"indeterminate"
0,0.0025,0.01,TRUE,0.000340684674251762,0.535,-0.000915919618185754,0.00168186987189688,"indeterminate"
0.0025,0.0025,0.01,TRUE,0.000197330852673393,0.444,-0.0010475320660631,0.00159058141171074,"indeterminate"
0.005,0.0025,0.01,TRUE,5.17939779745411e-05,0.358,-0.00120228008927517,0.00145471020175777,"indeterminate"
0.01,0.0025,0.01,FALSE,-0.000246031482105067,0.202,-0.0014660022599346,0.00129318040970681,"indeterminate"
0.02,0.0025,0.01,FALSE,-0.000908915956162768,0.043,-0.00207145413093123,0.00142396166341615,"indeterminate"
0.05,0.0025,0.01,FALSE,-0.00551673015689572,0,-0.00800945143853221,0.000632551957379386,"indeterminate"
0,0.005,0.01,TRUE,0.000317058022090154,0.519,-0.000936304118531674,0.00164596408401872,"indeterminate"
0.0025,0.005,0.01,TRUE,0.000174464194047326,0.423,-0.00106715640624597,0.0015565264797854,"indeterminate"
0.005,0.005,0.01,TRUE,2.96988863896321e-05,0.348,-0.00119314711462272,0.00143923037778647,"indeterminate"
0.01,0.005,0.01,FALSE,-0.000266547645260391,0.192,-0.0014867845017375,0.00126128606452545,"indeterminate"
0.02,0.005,0.01,FALSE,-0.000939791272538248,0.04,-0.00211087728515526,0.00141611080681704,"indeterminate"
0.05,0.005,0.01,FALSE,-0.00554552193439613,0,-0.00803518021440562,0.000625855774899034,"indeterminate"
0,0.01,0.01,TRUE,0.000268708635965628,0.485,-0.000977025394644164,0.00158426245648238,"indeterminate"
0.0025,0.01,0.01,TRUE,0.000127670052425942,0.395,-0.00110717271612374,0.00148683674795881,"indeterminate"
0.005,0.01,0.01,FALSE,-1.55163268021663e-05,0.317,-0.00124442615503485,0.00140320458189075,"indeterminate"
0.01,0.01,0.01,FALSE,-0.000308531752335975,0.176,-0.00149595844492984,0.00122708298279866,"indeterminate"
0.02,0.01,0.01,FALSE,-0.00100297426532724,0.037,-0.0021807240434681,0.0013970959154559,"indeterminate"
0.05,0.01,0.01,FALSE,-0.00560444119041501,0,-0.00808783136915686,0.000612152762297499,"indeterminate"
0,0.02,0.01,TRUE,0.000167380667172737,0.411,-0.00106443478294687,0.00148510024710771,"indeterminate"
0.0025,0.02,0.01,TRUE,2.9601479027934e-05,0.338,-0.00119144636852089,0.00140562970861618,"indeterminate"
0.005,0.02,0.01,FALSE,-0.000110275869342425,0.262,-0.00135287805957153,0.00131015074103335,"indeterminate"
0.01,0.02,0.01,FALSE,-0.000396519721419912,0.143,-0.00152677918443302,0.00124072267876756,"indeterminate"
0.02,0.02,0.01,FALSE,-0.00113538968638503,0.032,-0.00233846588786924,0.00127829357292122,"indeterminate"
0.05,0.02,0.01,FALSE,-0.00572792090781628,0,-0.00826495722743165,0.000583434746526182,"indeterminate"
0,0.05,0.01,FALSE,-0.0001795186142241,0.217,-0.00135890460921659,0.00141980278382092,"indeterminate"
0.0025,0.05,0.01,FALSE,-0.000306139166369951,0.174,-0.00141656349860533,0.00130312020773897,"indeterminate"
0.005,0.05,0.01,FALSE,-0.000443007566987147,0.133,-0.00153644042446856,0.00125793595121493,"indeterminate"
0.01,0.05,0.01,FALSE,-0.000813099524197735,0.063,-0.00199687271649714,0.00108644285379465,"indeterminate"
0.02,0.05,0.01,FALSE,-0.00158871777494759,0.01,-0.00284880614026153,0.00108603347686093,"indeterminate"
0.05,0.05,0.01,FALSE,-0.00615065735209593,0,-0.0088460570310735,0.000587416108751354,"indeterminate"
0,0,0.02,FALSE,-0.000386332614858111,0.129,-0.00143119381662214,0.00173972696807007,"indeterminate"
0.0025,0,0.02,FALSE,-0.000533750268415969,0.093,-0.00154863099913734,0.00160061320998978,"indeterminate"
0.005,0,0.02,FALSE,-0.000683412860860495,0.072,-0.00170940680430538,0.00146897437456117,"indeterminate"
0.01,0,0.02,FALSE,-0.000989681155708313,0.036,-0.00205917377697,0.00122438095733702,"indeterminate"
0.02,0,0.02,FALSE,-0.00163154130554895,0.004,-0.00270569306006335,0.00113513483042738,"indeterminate"
0.05,0,0.02,FALSE,-0.00631204239404754,0,-0.00878493129311807,3.12748846265087e-06,"indeterminate"
0,0.0025,0.02,FALSE,-0.000408737912461958,0.124,-0.00145351443096461,0.00171268235223616,"indeterminate"
0.0025,0.0025,0.02,FALSE,-0.000555385206861517,0.091,-0.00156848787719664,0.00158084043736507,"indeterminate"
0.005,0.0025,0.02,FALSE,-0.000704265708790004,0.064,-0.00171809051506057,0.00144837721509874,"indeterminate"
0.01,0.0025,0.02,FALSE,-0.00100893354005603,0.032,-0.0020736673916071,0.00122007744571799,"indeterminate"
0.02,0.0025,0.02,FALSE,-0.00164743952685824,0.004,-0.00271898557593995,0.00112283276198413,"indeterminate"
