"replicate","witness_bits"
250,0.0202273277561075
251,0.0199853611469089
252,0.0154920500835336
253,0.0151678570691642
254,0.0189475795282261
255,0.0172457735088231
256,0.014081446232064
257,0.0223375798596424
258,0.0241959014551947
259,0.024503616417712
260,0.029113596020642
261,0.016298810493884
262,0.0205126993030822
263,0.01152303327317
264,0.0171940671694978
265,0.0175400182993104
266,0.0129299922272239
267,0.0115920904925352
268,0.0154152489530663
269,0.0190171729111751
270,0.015688310612787
271,0.00973260447477763
272,0.015465867512288
273,0.0178664281032383
274,0.0216563219895907
275,0.018437956300607
276,0.0188073513993081
277,0.0193494420437515
278,0.0213406316381068
279,0.0172341968256423
280,0.0248570338652227
281,0.0120578514783326
282,0.0235482411326767
283,0.0253586931635356
284,0.0172864636456419
285,0.0147224053469552
286,0.0211810612401495
287,0.0193622496196876
288,0.0174590006275995
289,0.0101342256583261
290,0.0127515702661895
291,0.0263989874048279
292,0.0219298340345861
293,0.0183871756706076
294,0.0207319671542525
295,0.0210667088731669
296,0.0193483812887837
297,0.0137979600041046
298,0.0221776345229772
299,0.0196669278576512
300,0.0202619925898831
301,0.0142475110677479
302,0.0240609309790365
303,0.0136890253602988
304,0.020125457109833
305,0.0187576064586478
306,0.0223835930794743
307,0.0161044585594436
308,0.0220123522681443
309,0.0214299680337862
310,0.0266222829066647
311,0.0211834281838317
312,0.0227567076233316
313,0.0127833416976988
314,0.0220649418120523
315,0.0185041720832514
316,0.0294454193442848
317,0.012998476005322
318,0.0245066366339004
319,0.0240371647664703
320,0.0164906418254738
321,0.0209998799148689
322,0.0223074866224691
323,0.0174865231537805
324,0.0157053662266149
325,0.0191843438929308
326,0.0144970439622223
327,0.0151704261932831
328,0.0161192651046818
329,0.0153460603003381
330,0.0199403152422272
331,0.0154948712520748
332,0.0255021089436511
333,0.0112020890626921
334,0.027715299602524
335,0.0119270373391576
336,0.0153878659048191
337,0.0229414008430972
338,0.0272124976053693
339,0.0250055364399407
340,0.0174393259471639
341,0.0181197623187466
342,0.0279310670093104
343,0.02629942631222
344,0.0195917381360687
345,0.0163107145373514
346,0.0226778907273427
347,0.0247012431137113
348,0.0245398539199806
349,0.0248584600735694
350,0.0236684843999945
351,0.0189514294723817
352,0.0199836339061463
353,0.0209919806683158
354,0.018042465185328
355,0.0146577869732105
356,0.0149250827169259
357,0.0259494224353006
358,0.0253436175792392
359,0.0167814375379657
360,0.0146527621100532
361,0.0107456915849008
362,0.0138158911342861
363,0.0234421459843389
364,0.020769017658509
365,0.0204039339241087
366,0.0215702937703092
367,0.0236437613292429
368,0.0207399563574291
369,0.0105105308377148
370,0.0201203266000147
371,0.015520968275176
372,0.0154035020193784
373,0.0207994366757177
374,0.019057203581914
375,0.0149515890117803
376,0.0158326473016006
377,0.0202006126616709
378,0.0191725732605502
379,0.0323729091177333
380,0.0259749637664996
381,0.0231803751532608
382,0.0131233814496586
383,0.020425909383409
384,0.0161073939706443
385,0.0432613088547175
386,0.0155761446789313
387,0.0267918543170484
388,0.0261656839795769
389,0.0255579665831266
390,0.0204348903013809
391,0.0212944476901756
392,0.022727061218875
393,0.0193298415940441
394,0.0157417209678908
395,0.0264653459684509
396,0.0130949447250239
397,0.021955895151459
398,0.0213240087019336
399,0.018332244930576
400,0.0194187295547327
401,0.0277324166973221
402,0.0200220327352305
403,0.0206228604375833
404,0.0188545868776816
405,0.0167392119731994
406,0.00956870101170124
407,0.0194794293504518
408,0.0226375998617965
409,0.0273104249791056
410,0.0175322393491509
411,0.0192385768364366
412,0.0137377776189006
413,0.0164633413041241
414,0.0120558877649436
415,0.0140186783813838
416,0.0179608321788046
417,0.0178893364489559
418,0.0176508992082026
419,0.0219916630219201
420,0.0303952375198628
421,0.0230037913901485
422,0.0313746144364048
423,0.013066394999633
424,0.0122992864016289
425,0.0184104978481698
426,0.0135216431280849
427,0.0163765467087151
428,0.0259092308815771
429,0.0136032794447922
430,0.0205177828285802
431,0.0243625893915996
432,0.0294465422775604
433,0.0335326811784449
434,0.0286657474904792
435,0.021696948369102
436,0.0141608241759641
437,0.0309709114799528
438,0.0372497625378168
439,0.0181121733712451
440,0.0216034918587822
441,0.0190319350802941
442,0.0181697230663643
443,0.0146307119674737
444,0.026754034167594
445,0.0118976829258596
446,0.0115042668402191
447,0.0241451466938738
448,0.0159573813603257
449,0.0263815576009601
450,0.0246307327162635
451,0.0291417546838715
452,0.0238138377126198
453,0.0207265373658462
454,0.0286734452333033
455,0.0180667869092847
456,0.0162160993319627
457,0.0147317908495615
458,0.0163114545776365
459,0.0231767808138323
460,0.0173849034213329
461,0.0137272706828835
462,0.0250714692403194
463,0.0127790353482162
464,0.0154483621718407
465,0.026479730891486
466,0.0179056474229797
467,0.0240201524978895
468,0.018099693279965
469,0.0127732124820619
470,0.0235182718747367
471,0.0141980241954744
472,0.0132166544916432
473,0.0293975285525844
474,0.0121956834519832
475,0.0248090439284713
476,0.0296987849260617
477,0.0242334383142982
478,0.0167066835954317
479,0.0221041607310849
480,0.0227711616964166
481,0.0109584064390372
482,0.0154940806679877
483,0.00934124219217736
484,0.0186139540713741
485,0.0231676887489265
486,0.0162851969551258
487,0.023405020010846
488,0.0118345069497421
489,0.013917915682033
490,0.0158894277865325
491,0.0129982631053864
492,0.0223809906785781
493,0.0137343290643404
494,0.0181770685342821
495,0.0129317546664512
496,0.0252004013629212
497,0.0208736463017784
498,0.0254220209062365
499,0.014125993620526
500,0.0249592412244842
501,0.0214614259908317
502,0.013413074648905
503,0.0183229556335756
504,0.0290451512217511
505,0.0145449501983871
506,0.0244056523594361
507,0.01599316733846
508,0.0198164384295412
509,0.02282505259159
510,0.0184639102648597
511,0.0161680974722902
512,0.0213898411861792
513,0.0234507165344067
514,0.0174733138614403
515,0.0178117107072308
516,0.0216441777139245
517,0.0194675052286937
518,0.0271449051168473
519,0.0142083644553466
520,0.017666098173718
521,0.0205911431960042
522,0.0205692476153933
523,0.0183480395129279
524,0.020025268540249
525,0.0243955086589238
526,0.0197483895564163
527,0.0168448873362866
528,0.0240506156857012
529,0.0127719173841586
530,0.0203280594491359
531,0.0212294399069855
532,0.00984419383534032
533,0.00925378493678629
534,0.0179448106957738
535,0.023032394488302
536,0.0434174477319954
537,0.0184533736493852
538,0.0243168346359571
539,0.0186773450836479
540,0.0179043041490246
541,0.0264658684657311
542,0.0217822861719099
543,0.00803819450622228
544,0.0196091510039566
545,0.0140867106688797
546,0.0327835316056075
547,0.0175962910113595
548,0.0331802204825822
549,0.0203266366184234
550,0.0215076396721448
551,0.0186087914357089
552,0.0161829933528581
553,0.0143257129689056
554,0.0226581928600061
555,0.0208228910712995
556,0.0254172550257331
557,0.0248098560896248
558,0.023792040935826
559,0.0180086700588414
560,0.0141471894998155
561,0.0181763328796686
562,0.023198190712818
563,0.035072382615018
564,0.0172563014093454
565,0.0229594088514947
566,0.0217063282019268
567,0.0174397196771558
568,0.0231859717114105
569,0.0158752457081518
570,0.0194743148539649
571,0.0176282648055789
572,0.0167308700148961
573,0.0167862511177697
574,0.0243179370977245
575,0.0201958329674968
576,0.014461970529797
577,0.0167930025215376
578,0.0137346506862846
579,0.0229421278355531
580,0.0184347167251565
581,0.0147730628341295
582,0.0257405874672215
583,0.020915930231304
584,0.0227317199572751
585,0.0122360820337622
586,0.0211974656300851
587,0.0287319761104404
588,0.0125457279230887
589,0.0140094848972134
590,0.024175753501134
591,0.0198290645094271
592,0.0139800660265678
593,0.0199150879633799
594,0.0148041576450629
595,0.0276814736535392
596,0.0230632126575228
597,0.0209656725541818
598,0.0194823715225443
599,0.0141815201952064
600,0.0329947918306113
601,0.0273791988810633
602,0.0119315195911168
603,0.0224640374122619
604,0.0111592833667425
605,0.0223010784548307
606,0.022312474758436
607,0.0174858121803854
608,0.0140439870579695
