"row_id","participant_id","analysis_weight","T","Y","M","C"
"187","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"188","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_high"
"189","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_high"
"190","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_high"
"191","px_02a8787a5fffa82a","0.0075187969924812","2","2","3","quality_high"
"192","px_02a8787a5fffa82a","0.0075187969924812","2","2","3","quality_low"
"193","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_low"
"194","px_02a8787a5fffa82a","0.0075187969924812","3","1","3","quality_high"
"195","px_02a8787a5fffa82a","0.0075187969924812","1","2","2","quality_high"
"196","px_02a8787a5fffa82a","0.0075187969924812","2","2","3","quality_high"
"197","px_02a8787a5fffa82a","0.0075187969924812","2","2","2","quality_low"
"198","px_02a8787a5fffa82a","0.0075187969924812","2","3","2","quality_low"
"199","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"200","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"201","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"202","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"203","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"204","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"205","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_low"
"206","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"207","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"208","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"209","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_high"
"210","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_high"
"211","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_high"
"212","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"213","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"214","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"215","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_high"
"216","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"217","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"218","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_low"
"219","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_high"
"220","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"221","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_low"
"222","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_high"
"223","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
