"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference","design_id"
0.05,0.05,0.0025,FALSE,-0.00705546509866893,0,-0.00894282603357351,-0.0049923641033314,"rejected","C1_M2_T4"
0,0,0.005,TRUE,0.00106474545310896,0.999,0.000446524770513389,0.0017627583884188,"certified_compatible","C1_M2_T4"
0.0025,0,0.005,TRUE,0.00103883956715811,0.998,0.000520867424995835,0.00176714804101262,"certified_compatible","C1_M2_T4"
0.005,0,0.005,TRUE,0.00101267200559159,0.998,0.000547912242698376,0.00179031984214147,"certified_compatible","C1_M2_T4"
0.01,0,0.005,TRUE,0.000841844920639797,0.954,0.000447122214408789,0.00179197509779011,"certified_compatible","C1_M2_T4"
0.02,0,0.005,FALSE,-0.000388916814796085,0.161,-0.00119961370187442,0.000564190440203625,"indeterminate","C1_M2_T4"
0.05,0,0.005,FALSE,-0.00535058312108235,0,-0.00667406568382051,-0.00341501622528915,"rejected","C1_M2_T4"
0,0.0025,0.005,TRUE,0.00106288838103353,0.999,0.000475744855017388,0.00176204829963092,"certified_compatible","C1_M2_T4"
0.0025,0.0025,0.005,TRUE,0.00103725867660902,0.998,0.000539992621651688,0.00176725269563052,"certified_compatible","C1_M2_T4"
0.005,0.0025,0.005,TRUE,0.00101137008628123,0.998,0.000569617400195079,0.00179217052388584,"certified_compatible","C1_M2_T4"
0.01,0.0025,0.005,TRUE,0.000819335082472705,0.95,0.000440449253232344,0.00176876921685299,"certified_compatible","C1_M2_T4"
0.02,0.0025,0.005,FALSE,-0.000413323202977789,0.151,-0.0012294606197876,0.000542787603164215,"indeterminate","C1_M2_T4"
0.05,0.0025,0.005,FALSE,-0.00542904448600428,0,-0.00677733942059792,-0.00348309757830427,"rejected","C1_M2_T4"
0,0.005,0.005,TRUE,0.00106101255065431,0.999,0.000493205932582912,0.00176676364400606,"certified_compatible","C1_M2_T4"
0.0025,0.005,0.005,TRUE,0.00103566181746853,0.998,0.000558283105286081,0.00177092970980956,"certified_compatible","C1_M2_T4"
0.005,0.005,0.005,TRUE,0.00101005501627077,0.998,0.000581240759288135,0.0017936612432161,"certified_compatible","C1_M2_T4"
0.01,0.005,0.005,TRUE,0.000796597872202915,0.949,0.000421280322138075,0.00175024921405611,"certified_compatible","C1_M2_T4"
0.02,0.005,0.005,FALSE,-0.000437976120333046,0.14,-0.00126458724055939,0.000520101459979701,"indeterminate","C1_M2_T4"
0.05,0.005,0.005,FALSE,-0.00550829838996582,0,-0.00687302667745146,-0.0035613251701353,"rejected","C1_M2_T4"
0,0.01,0.005,TRUE,0.0010572034665169,0.999,0.000528838780574243,0.00177766745330507,"certified_compatible","C1_M2_T4"
0.0025,0.01,0.005,TRUE,0.00103241921574446,0.998,0.00057293977918616,0.00178890825448266,"certified_compatible","C1_M2_T4"
0.005,0.01,0.005,TRUE,0.00100738461900462,0.994,0.000622306245799341,0.00182758187852846,"certified_compatible","C1_M2_T4"
0.01,0.01,0.005,TRUE,0.00075042741461426,0.932,0.000379060581919052,0.00170699419886185,"certified_compatible","C1_M2_T4"
0.02,0.01,0.005,FALSE,-0.000488036636187087,0.118,-0.00129420871266758,0.000472807986886737,"indeterminate","C1_M2_T4"
0.05,0.01,0.005,FALSE,-0.0056692323378061,0,-0.00712053730041593,-0.00371165179702736,"rejected","C1_M2_T4"
0,0.02,0.005,TRUE,0.0010493472304835,0.996,0.000625951129761276,0.00184333709783547,"certified_compatible","C1_M2_T4"
0.0025,0.02,0.005,TRUE,0.00102573134968857,0.992,0.00067382771490495,0.001876184673635,"certified_compatible","C1_M2_T4"
0.005,0.02,0.005,TRUE,0.00100187692464319,0.979,0.000705180766443603,0.00198269640431306,"certified_compatible","C1_M2_T4"
0.01,0.02,0.005,TRUE,0.000655200845837659,0.864,0.000313493002730595,0.00168995084452709,"certified_compatible","C1_M2_T4"
0.02,0.02,0.005,FALSE,-0.000591286450136047,0.075,-0.00137369029027245,0.000376047657746178,"indeterminate","C1_M2_T4"
0.05,0.02,0.005,FALSE,-0.00600115860522668,0,-0.00758996284512813,-0.00402203741401133,"rejected","C1_M2_T4"
0,0.05,0.005,TRUE,0.000364498017549702,0.717,-0.000338391156180447,0.00150933629924052,"indeterminate","C1_M2_T4"
0.0025,0.05,0.005,TRUE,0.000212222162343573,0.628,-0.000526834723841557,0.00135172152007225,"indeterminate","C1_M2_T4"
0.005,0.05,0.005,TRUE,5.84081671858664e-05,0.531,-0.000707914115767377,0.00119203655195419,"indeterminate","C1_M2_T4"
0.01,0.05,0.005,FALSE,-0.000253928414818047,0.281,-0.00108325390073761,0.000879061114376862,"indeterminate","C1_M2_T4"
0.02,0.05,0.005,FALSE,-0.000928569175702649,0.007,-0.00161232893863519,0.000264528596586195,"indeterminate","C1_M2_T4"
0.05,0.05,0.005,FALSE,-0.00708545107880056,0,-0.008988893982521,-0.00500566670840409,"rejected","C1_M2_T4"
0,0,0.01,TRUE,0.000669073378020569,0.972,-1.09795221212639e-05,0.00137475755339548,"indeterminate","C1_M2_T4"
0.0025,0,0.01,TRUE,0.000647074454303634,0.97,9.42658982952343e-06,0.00136168520689117,"certified_compatible","C1_M2_T4"
0.005,0,0.01,TRUE,0.000624853319236023,0.96,4.78828414137021e-05,0.00134848081648277,"certified_compatible","C1_M2_T4"
0.01,0,0.01,TRUE,0.000579730810272201,0.9,0.000139536562330849,0.00138891562297973,"certified_compatible","C1_M2_T4"
0.02,0,0.01,FALSE,-0.000417949728366347,0.144,-0.00113076915341224,0.000549406756578583,"indeterminate","C1_M2_T4"
0.05,0,0.01,FALSE,-0.00539761775305652,0,-0.0067318395122304,-0.00343595910845414,"rejected","C1_M2_T4"
0,0.0025,0.01,TRUE,0.000666309013942778,0.971,-1.23441579306493e-05,0.00137181103757844,"indeterminate","C1_M2_T4"
0.0025,0.0025,0.01,TRUE,0.000644587677308222,0.97,2.12938753298428e-05,0.00135902254221276,"certified_compatible","C1_M2_T4"
0.005,0.0025,0.01,TRUE,0.000622646933232913,0.959,5.80279547806482e-05,0.00134610487012622,"certified_compatible","C1_M2_T4"
0.01,0.0025,0.01,TRUE,0.000578093789651418,0.896,0.000160823541832906,0.00140398639266615,"certified_compatible","C1_M2_T4"
0.02,0.0025,0.01,FALSE,-0.000441959925929104,0.135,-0.00115969267057569,0.00052847830361625,"indeterminate","C1_M2_T4"
0.05,0.0025,0.01,FALSE,-0.00547674898264391,0,-0.00683660469357909,-0.00350441244692013,"rejected","C1_M2_T4"
0,0.005,0.01,TRUE,0.000663516726995515,0.971,-1.02283544302138e-05,0.00136883475897536,"indeterminate","C1_M2_T4"
0.0025,0.005,0.01,TRUE,0.000642075781353261,0.969,2.6244388131743e-05,0.00135633298193154,"certified_compatible","C1_M2_T4"
0.005,0.005,0.01,TRUE,0.000620418260502499,0.956,7.75579642496717e-05,0.00134370492431151,"certified_compatible","C1_M2_T4"
0.01,0.005,0.01,TRUE,0.000576440233468809,0.892,0.000182214716330457,0.00140198911439542,"certified_compatible","C1_M2_T4"
0.02,0.005,0.01,FALSE,-0.00046621265073997,0.123,-0.0011999929831877,0.000506456508897646,"indeterminate","C1_M2_T4"
0.05,0.005,0.01,FALSE,-0.00555667951758066,0,-0.00694557804467366,-0.00357843887783044,"rejected","C1_M2_T4"
0,0.01,0.01,TRUE,0.000657846674929134,0.97,5.14926473301554e-06,0.00136279109119973,"certified_compatible","C1_M2_T4"
0.0025,0.01,0.01,TRUE,0.000636975094669206,0.966,5.31094309489325e-05,0.0013508715278911,"certified_compatible","C1_M2_T4"
0.005,0.01,0.01,TRUE,0.00061589269036625,0.95,0.000100812926549889,0.00134157757628165,"certified_compatible","C1_M2_T4"
0.01,0.01,0.01,TRUE,0.000573082502036776,0.873,0.000215157988177183,0.00142718408323977,"certified_compatible","C1_M2_T4"
0.02,0.01,0.01,FALSE,-0.000515460530713056,0.104,-0.00124357167514928,0.000457713050656136,"indeterminate","C1_M2_T4"
0.05,0.01,0.01,FALSE,-0.00571898744056447,0,-0.00718611489477636,-0.00373439936381782,"rejected","C1_M2_T4"
0,0.02,0.01,TRUE,0.000646152192542221,0.966,6.82912619696812e-05,0.00136590224419332,"certified_compatible","C1_M2_T4"
0.0025,0.02,0.01,TRUE,0.000626454928383344,0.955,0.000123371441828536,0.00135983024217541,"certified_compatible","C1_M2_T4"
0.005,0.02,0.01,TRUE,0.000606558701960235,0.925,0.000182225475379427,0.00136833910769742,"certified_compatible","C1_M2_T4"
0.01,0.02,0.01,TRUE,0.000566157180958208,0.789,0.000293560798138385,0.00155783426331506,"certified_compatible","C1_M2_T4"
0.02,0.02,0.01,FALSE,-0.000617034283157545,0.063,-0.00137480116947552,0.000360204455797758,"indeterminate","C1_M2_T4"
0.05,0.02,0.01,FALSE,-0.00605374753171859,0,-0.00766797998464757,-0.00404291271951692,"rejected","C1_M2_T4"
0,0.05,0.01,TRUE,0.000319147225995593,0.647,-0.00020677057072434,0.00147878552449555,"indeterminate","C1_M2_T4"
