"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","design_id"
0.005,0.005,0,TRUE,0.000138198284409311,0,0.00931938944898363,0.344913562819948,0.00967934740136064,0.299498870486154,0.000359957952377013,"age2_M2_T4"
0.01,0.005,0,FALSE,-2.08559428865054e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.005,0,FALSE,-0.00151799274638702,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.005,0,FALSE,-0.0108917368616902,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.01,0,TRUE,0.00020226685193281,0,0.00931938944898363,0.344913562819948,0.0100782527395089,0.344913562819948,0.000758863290525311,"age2_M2_T4"
0.0025,0.01,0,TRUE,0.000167391677017342,0,0.00931938944898363,0.344913562819948,0.0100782527395089,0.319701696927014,0.000758863290525311,"age2_M2_T4"
0.005,0.01,0,TRUE,0.000132164227607779,0,0.00931938944898363,0.344913562819948,0.0100782527395089,0.299498870486154,0.000758863290525311,"age2_M2_T4"
0.01,0.01,0,FALSE,-2.69728298365512e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.01,0,FALSE,-0.00152931308117837,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.01,0,FALSE,-0.0109227931795241,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.02,0,TRUE,0.000186720105882975,0,0.00931938944898363,0.344913562819948,0.0110529584467598,0.344913562819948,0.0017335689977762,"age2_M2_T4"
0.0025,0.02,0,TRUE,0.000153387890192485,0,0.00931938944898363,0.344913562819948,0.0110529584467598,0.319701696927014,0.0017335689977762,"age2_M2_T4"
0.005,0.02,0,TRUE,0.000119718985454617,0,0.00931938944898363,0.344913562819948,0.0110529584467598,0.299498870486154,0.0017335689977762,"age2_M2_T4"
0.01,0.02,0,FALSE,-3.95889091710207e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.02,0,FALSE,-0.00155266127168553,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.02,0,FALSE,-0.0109868468350566,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.05,0,FALSE,-0.00254206882182409,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.0025,0.05,0,FALSE,-0.00258042867557563,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.005,0.05,0,FALSE,-0.00261917600259739,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.01,0.05,0,FALSE,-0.00269785679930484,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.05,0,FALSE,-0.00286013594251396,5,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.05,0,FALSE,-0.0111960887764625,9,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0,0.0025,TRUE,0.000175557500289974,0,0.00931938944898363,0.344913562819948,0.00945752171500183,0.344913562819948,0.000138132266018207,"age2_M2_T4"
0.0025,0,0.0025,TRUE,0.000141189055997244,0,0.00931938944898363,0.344913562819948,0.00945752171500183,0.319701696927014,0.000138132266018207,"age2_M2_T4"
0.005,0,0.0025,TRUE,0.000106473455701558,0,0.00931938944898363,0.344913562819948,0.00945752171500183,0.299498870486154,0.000138132266018207,"age2_M2_T4"
0.01,0,0.0025,FALSE,-2.48363571945397e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0,0.0025,FALSE,-0.00151652222236243,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0,0.0025,FALSE,-0.0109150333531322,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.0025,0.0025,TRUE,0.000171797174951415,0,0.00931938944898363,0.344913562819948,0.00963360390496068,0.344913562819948,0.000314214455977058,"age2_M2_T4"
