"alpha","eta","compatible_at_delta_zero","delta_max","bootstrap_median","ci_lower","ci_upper","design_id"
0.0025,0.01,TRUE,0.059160562069553,0.0572427174017989,0.00635661839162445,0.110294589550224,"C4_M2_T2"
0.005,0.01,TRUE,0.0536353293952221,0.0492337016693285,-0.00280128988739883,0.105956024974615,"C4_M2_T2"
0.01,0.01,TRUE,0.041063690225393,0.040934743947492,-0.0238157228194297,0.0795029847595689,"C4_M2_T2"
0.02,0.01,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0.05,0.01,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0,0.02,TRUE,0.0621111293684603,0.0604478407120352,0.0109093317453121,0.112248130997927,"C4_M2_T2"
0.0025,0.02,TRUE,0.0572717372574602,0.0548167592159731,0.00334549041576827,0.108869197694201,"C4_M2_T2"
0.005,0.02,TRUE,0.052033336596781,0.0488494428393258,-0.00614508820727702,0.102917860426382,"C4_M2_T2"
0.01,0.02,TRUE,0.0401443825043455,0.0405043768943889,-0.0255421250098187,0.077884616714661,"C4_M2_T2"
0.02,0.02,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0.05,0.02,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0,0.05,TRUE,0.05520565027151,0.0525442294187678,-0.00106163530973023,0.107110525204841,"C4_M2_T2"
0.0025,0.05,TRUE,0.0512126950839396,0.0503108497822505,-0.00818474283672711,0.100897313715111,"C4_M2_T2"
0.005,0.05,TRUE,0.0469110390263843,0.0464753919376864,-0.0166784724149396,0.0907896422353323,"C4_M2_T2"
0.01,0.05,TRUE,0.0372264294332429,0.0385552844271626,-0.0332268872217187,0.0713666911205145,"C4_M2_T2"
0.02,0.05,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0.05,0.05,FALSE,NA,NA,NA,NA,"C4_M2_T2"
